nhs,person_id,survey_phase,social_survey,catch_survey,catch_data_survey,type,maungwe_active,maungwe_annual_earnings,limbelo_active,limbelo_annual_earnings,limbelo_traps,maungwe_traps,limbelo_annual_buckets,limbelo_days_fished
NHS103,1734,1,Yes,No,No,Maungwe,Inactive,,N/A,0,0,4,,
NHS104,1735,1,Yes,Yes,Yes,Both,Inactive,,Active," 51,875 ",4,5,156.25,44
NHS105,1736,1,Yes,Yes,No,Both,Inactive,,Active, 498 ,2,2,1.5,2
NHS106,1737,1,Yes,Yes,No,Both,Inactive,,Active," 1,660 ",2,1,5,7
NHS107,1738,1,Yes,Yes,Yes,Both,Active," 3,000 ",Active," 10,544 ",5,2,31.76,50
NHS108,1739,1,Yes,Yes,No,Limbelo,N/A,,Active, 166 ,1,0,0.5,1
NHS109,1740,1,Yes,Yes,Yes,Both,Active," 3,000 ",Active," 12,118 ",3,2,36.5,39
NHS110,1741,1,Yes,Yes,Yes,Both,Inactive,,Active," 16,268 ",4,9,49,65
NHS111,1742,1,Yes,Yes,No,Limbelo,N/A,,Active, 498 ,4,0,1.5,6
NHS112,1743,1,Yes,Yes,No,Both,Inactive,,Active," 4,150 ",3,1,12.5,15
NHS113,1744,1,Yes,No,Yes,Maungwe,Active," 9,000 ",N/A,0,0,6,,
NHS114,1745,1,Yes,Yes,Yes,Limbelo,N/A,,Active," 6,660 ",3,0,20.06,41
NHS115,1746,1,Yes,No,No,Both,Inactive,,Inactive,0,3,1,,
NHS116,1747,1,Yes,Yes,No,Limbelo,N/A,,Active, 498 ,2,0,1.5,2
NHS117,1748,1,Yes,Yes,Yes,Both,Active," 7,500 ",Active," 7,138 ",5,5,21.5,38
NHS118,1749,1,Yes,Yes,Yes,Limbelo,N/A,,Active," 29,405 ",3,0,88.57,31
NHS119,1750,1,Yes,Yes,Yes,Limbelo,N/A,,Active," 59,677 ",3,0,179.75,76
NHS120,1751,1,Yes,No,No,Limbelo,N/A,,Inactive,0,3,0,,
NHS121,1752,1,Yes,Yes,Yes,Limbelo,N/A,,Active," 6,557 ",4,0,19.75,24
NHS122,1753,1,Yes,No,No,Limbelo,N/A,,Inactive,0,1,0,,
NHS123,1754,1,Yes,Yes,Yes,Limbelo,N/A,,Active," 7,699 ",4,0,23.19,39
NHS124,1755,1,Yes,Yes,No,Limbelo,Inactive,,Active," 4,897 ",2,1,14.75,27
NHS125,1756,1,Yes,Yes,No,Limbelo,N/A,,Active," 4,980 ",1,0,15,16
NHS126,1757,1,Yes,No,No,Limbelo,N/A,,Inactive,0,1,0,,
NHS127,1758,1,Yes,No,No,Limbelo,N/A,,Inactive,0,2,0,,
NHS128,1759,1,Yes,Yes,Yes,Limbelo,N/A,,Active," 11,288 ",1,0,34,42
NHS129,1760,1,Yes,Yes,Yes,Limbelo,N/A,,Active," 7,221 ",5,0,21.75,26
NHS130,1761,1,Yes,Yes,No,Limbelo,N/A,,Active," 2,898 ",1,0,8.73,15
NHS131,1762,1,Yes,Yes,Yes,Limbelo,N/A,,Active," 19,339 ",4,0,58.25,64
NHS132,1763,1,Yes,Yes,No,Both,Inactive,,Active, 498 ,2,1,1.5,2
NHS133,1764,1,Yes,Yes,No,Limbelo,Active," 6,000 ",Active, 249 ,3,4,0.75,1
NHS134,1765,1,Yes,Yes,Yes,Limbelo,N/A,,Active," 12,450 ",1,0,37.5,41
NHS135,1766,1,Yes,Yes,Yes,Both,Active," 15,000 ",Active," 10,541 ",3,10,31.75,41
NHS136,1767,1,Yes,Yes,Yes,Limbelo,N/A,,Active," 26,228 ",1,0,79,63
NHS137,1768,1,Yes,Yes,Yes,Both,Active," 3,000 ",Active," 1,909 ",2,2,5.75,11
NHS138,1769,1,Yes,No,No,Limbelo,N/A,,Inactive,0,1,0,,
NHS139,1770,1,No,No,No,Both,Inactive,,Inactive,0,4,5,,
NHS140,1771,1,Yes,No,Yes,Maungwe,Active," 3,000 ",N/A,0,0,2,,
NHS141,1772,1,Yes,Yes,Yes,Both,Inactive,,Active," 2,656 ",8,14,8,17
NHS142,1773,1,Yes,Yes,Yes,Limbelo,N/A,,Active," 45,069 ",2,0,135.75,47
NHS143,1774,1,No,No,No,Limbelo,N/A,,Inactive,0,1,0,,
NHS144,1775,1,Yes,No,Yes,Limbelo,N/A,,Inactive,0,1,0,,
NHS145,1776,1,Yes,Yes,No,Limbelo,N/A,,Active," 7,304 ",3,0,22,19
NHS146,1777,1,Yes,No,No,Limbelo,N/A,,Inactive,0,2,0,,
NHS147,1778,1,Yes,Yes,No,Limbelo,N/A,,Active," 13,033 ",1,0,39.257,26
NHS148,1779,1,No,No,No,Limbelo,N/A,,Inactive,0,1,0,,
NHS149,1780,1,Yes,Yes,Yes,Limbelo,N/A,,Active," 7,138 ",1,0,21.5,25
NHS150,1781,1,Yes,No,No,Both,Inactive,,Inactive,0,2,2,,
NHS151,1782,1,No,No,No,Limbelo,N/A,,Inactive,0,1,0,,
NHS152,1783,1,Yes,No,No,Limbelo,N/A,,Inactive,0,1,0,,
NHS153,1784,1,Yes,Yes,No,Limbelo,N/A,,Active, 166 ,3,0,0.5,1
NHS154,1785,1,No,No,No,Limbelo,N/A,,Inactive,0,1,0,,
NHS155,1786,1,Yes,No,No,Maungwe,Inactive,,Inactive,0,1,1,,
NHS156,1787,1,Yes,Yes,No,Limbelo,N/A,,Active, 83 ,2,0,0.25,1
NHS157,1788,1,Yes,Yes,Yes,Both,Inactive,,Active," 8,881 ",6,1,26.75,37
NHS158,1789,1,Yes,No,No,Limbelo,N/A,,Inactive,0,1,0,,
NHS159,1790,1,Yes,No,No,Limbelo,N/A,,Inactive,0,1,0,,
NHS160,1791,1,Yes,Yes,Yes,Limbelo,N/A,,Active," 6,474 ",3,0,19.5,33
NHS161,1792,1,No,Yes,No,Limbelo,N/A,,Active, 415 ,1,0,1.25,3
NHS162,1793,1,Yes,No,No,Limbelo,N/A,,Inactive,0,1,0,,
NHS163,1794,1,Yes,Yes,Yes,Limbelo,N/A,,Active," 25,398 ",3,0,76.5,62
NHS164,1795,1,No,No,No,Limbelo,N/A,,Inactive,0,1,0,,
NHS165,1796,1,Yes,Yes,Yes,Limbelo,N/A,,Active," 2,573 ",1,0,7.75,11
NHS166,1797,1,Yes,No,No,Limbelo,N/A,,Inactive,0,4,0,,
NHS167,1798,1,Yes,Yes,Yes,Limbelo,N/A,,Active," 2,905 ",6,0,8.75,25
